sample_id,game,label
s1,sym,0
s2,sym,1
s3,sym,1
s4,sym,1
s5,sym,0
s6,sym,0
s7,sym,1
s8,sym,0
c1,circle,0
c2,circle,1
c3,circle,1
c4,circle,1
c5,circle,1
c6,circle,1
c7,circle,1
c8,circle,0
c9,circle,0
c10,circle,1
c11,circle,0
c12,circle,1
c13,circle,1
c14,circle,1
c15,circle,1
c16,circle,0
c17,circle,1
c18,circle,1
c19,circle,1
c20,circle,1
c21,circle,1
l1,maze,0
l2,maze,1
l3,maze,1
l4,maze,0
l5,maze,1
l6,maze,1
l7,maze,0
l8,maze,0
l9,maze,0
l10,maze,1
l11,maze,1
l12,maze,1
l13,maze,1
l14,maze,1
l15,maze,1
l16,maze,1
l17,maze,1
l18,maze,1
l19,maze,1
l20,maze,1
l21,maze,1
l22,maze,1
l23,maze,0
l24,maze,1
l25,maze,1
l26,maze,1
l27,maze,0
l28,maze,1
l29,maze,1
l30,maze,0
l31,maze,0
l32,maze,0
l33,maze,1
l34,maze,0